"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Average Family Income"
"West Humber-Clairville",1.0,"N/A",33312.0,72820.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",32954.0,57411.0
"Thistletown-Beaumond Heights",3.0,"N/A",10360.0,70838.0
"Rexdale-Kipling",4.0,"N/A",10529.0,69367.0
"Elms-Old Rexdale",5.0,"N/A",9456.0,61196.0
"Kingsview Village-The Westway",6.0,"N/A",22000.0,68145.0
"Willowridge-Martingrove-Richview",7.0,"N/A",22156.0,79241.0
"Humber Heights-Westmount",8.0,"N/A",10948.0,81267.0
"Edenbridge-Humber Valley",9.0,"N/A",15535.0,119581.0
"Princess-Rosethorn",10.0,"N/A",11051.0,144943.0
"Eringate-Centennial-West Deane",11.0,"N/A",18588.0,88741.0
"Markland Wood",12.0,"N/A",10554.0,100337.0
"Etobicoke West Mall",13.0,"N/A",11848.0,67704.0
"Islington-City Centre West",14.0,"N/A",43965.0,87747.0
"Kingsway South",15.0,"N/A",9271.0,191204.0
"Stonegate-Queensway",16.0,"N/A",25051.0,100867.0
"Mimico",17.0,"N/A",33964.0,87901.0
"New Toronto",18.0,"N/A",11463.0,70398.0
"Long Branch",19.0,"N/A",10084.0,77549.0
"Alderwood",20.0,"N/A",12054.0,83584.0
"Humber Summit",21.0,"N/A",12416.0,65757.0
"Humbermede",22.0,"N/A",15545.0,59697.0
"Pelmo Park-Humberlea",23.0,"N/A",10722.0,76800.0
"Black Creek",24.0,"N/A",21737.0,52499.0
"Glenfield-Jane Heights",25.0,"N/A",30491.0,56582.0
"Downsview-Roding-CFB",26.0,"N/A",35052.0,61994.0
"York University Heights",27.0,"N/A",27593.0,59770.0
"Rustic",28.0,"N/A",9941.0,59004.0
"Maple Leaf",29.0,"N/A",10111.0,68718.0
"Brookhaven-Amesbury",30.0,"N/A",17757.0,60364.0
"Yorkdale-Glen Park",31.0,"N/A",14804.0,70539.0
"Englemount-Lawrence",32.0,"N/A",22372.0,86616.0
"Clanton Park",33.0,"N/A",16472.0,89550.0
"Bathurst Manor",34.0,"N/A",15873.0,76914.0
"Westminster-Branson",35.0,"N/A",26274.0,62791.0
"Newtonbrook West",36.0,"N/A",23831.0,66505.0
"Willowdale West",37.0,"N/A",16936.0,83632.0
"Lansing-Westgate",38.0,"N/A",16164.0,105947.0
"Bedford Park-Nortown",39.0,"N/A",23236.0,161110.0
"St.Andrew-Windfields",40.0,"N/A",17812.0,162988.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",9266.0,356777.0
"Banbury-Don Mills",42.0,"N/A",27695.0,115239.0
"Victoria Village",43.0,"N/A",17510.0,65104.0
"Flemingdon Park",44.0,"N/A",21933.0,55824.0
"Parkwoods-Donalda",45.0,"N/A",34805.0,74645.0
"Pleasant View",46.0,"N/A",15818.0,71782.0
"Don Valley Village",47.0,"N/A",27051.0,69884.0
"Hillcrest Village",48.0,"N/A",16934.0,81484.0
"Bayview Woods-Steeles",49.0,"N/A",13154.0,88861.0
"Newtonbrook East",50.0,"N/A",16097.0,84163.0
"Willowdale East",51.0,"N/A",50434.0,80607.0
"Bayview Village",52.0,"N/A",21396.0,92800.0
"Henry Farm",53.0,"N/A",15723.0,65901.0
"O'Connor-Parkview",54.0,"N/A",18675.0,73050.0
"Thorncliffe Park",55.0,"N/A",21108.0,49530.0
"Leaside-Bennington",56.0,"N/A",16828.0,158847.0
"Broadview North",57.0,"N/A",11499.0,67940.0
"Old East York",58.0,"N/A",9233.0,90478.0
"Danforth-East York",59.0,"N/A",17180.0,83989.0
"Woodbine-Lumsden",60.0,"N/A",7865.0,74945.0
"Taylor-Massey",61.0,"N/A",15683.0,51131.0
"East End-Danforth",62.0,"N/A",21381.0,90812.0
"The Beaches",63.0,"N/A",21567.0,139757.0
"Woodbine Corridor",64.0,"N/A",12541.0,90338.0
"Greenwood-Coxwell",65.0,"N/A",14417.0,76085.0
"Danforth",66.0,"N/A",9666.0,88629.0
"Playter Estates-Danforth",67.0,"N/A",7804.0,112244.0
"North Riverdale",68.0,"N/A",11916.0,114599.0
"Blake-Jones",69.0,"N/A",7727.0,76633.0
"South Riverdale",70.0,"N/A",27876.0,83795.0
"Cabbagetown-South St.James Town",71.0,"N/A",11669.0,103558.0
"Regent Park",72.0,"N/A",10803.0,51758.0
"Moss Park",73.0,"N/A",20506.0,87222.0
"North St.James Town",74.0,"N/A",18615.0,49005.0
"Church-Yonge Corridor",75.0,"N/A",31340.0,77996.0
"Bay Street Corridor",76.0,"N/A",25797.0,90324.0
"Waterfront Communities-The Island",77.0,"N/A",65913.0,95004.0
"Kensington-Chinatown",78.0,"N/A",17945.0,64945.0
"University",79.0,"N/A",7607.0,92815.0
"Palmerston-Little Italy",80.0,"N/A",13826.0,94190.0
"Trinity-Bellwoods",81.0,"N/A",16556.0,77477.0
"Niagara",82.0,"N/A",31180.0,88996.0
"Dufferin Grove",83.0,"N/A",11785.0,66895.0
"Little Portugal",84.0,"N/A",15559.0,74372.0
"South Parkdale",85.0,"N/A",21849.0,54454.0
"Roncesvalles",86.0,"N/A",14974.0,86526.0
"High Park-Swansea",87.0,"N/A",23925.0,116465.0
"High Park North",88.0,"N/A",22162.0,89737.0
"Runnymede-Bloor West Village",89.0,"N/A",10070.0,114798.0
"Junction Area",90.0,"N/A",14366.0,78000.0
"Weston-Pellam Park",91.0,"N/A",11098.0,66933.0
"Corso Italia-Davenport",92.0,"N/A",14133.0,74367.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",36625.0,70893.0
"Wychwood",94.0,"N/A",14349.0,90496.0
"Annex",95.0,"N/A",30526.0,141111.0
"Casa Loma",96.0,"N/A",10968.0,188924.0
"Yonge-St.Clair",97.0,"N/A",12528.0,173751.0
"Rosedale-Moore Park",98.0,"N/A",20923.0,249884.0
"Mount Pleasant East",99.0,"N/A",16775.0,133977.0
"Yonge-Eglinton",100.0,"N/A",11817.0,140907.0
"Forest Hill South",101.0,"N/A",10732.0,251035.0
"Forest Hill North",102.0,"N/A",12806.0,137887.0
"Lawrence Park South",103.0,"N/A",15179.0,216754.0
"Mount Pleasant West",104.0,"N/A",29658.0,89797.0
"Lawrence Park North",105.0,"N/A",14607.0,165131.0
"Humewood-Cedarvale",106.0,"N/A",14365.0,105770.0
"Oakwood Village",107.0,"N/A",21210.0,67809.0
"Briar Hill-Belgravia",108.0,"N/A",14257.0,67358.0
"Caledonia-Fairbank",109.0,"N/A",9955.0,66257.0
"Keelesdale-Eglinton West",110.0,"N/A",11058.0,64857.0
"Rockcliffe-Smythe",111.0,"N/A",22246.0,64271.0
"Beechborough-Greenbrook",112.0,"N/A",6577.0,58706.0
"Weston",113.0,"N/A",17992.0,61470.0
"Lambton Baby Point",114.0,"N/A",7985.0,122277.0
"Mount Dennis",115.0,"N/A",13593.0,57386.0
"Steeles",116.0,"N/A",24623.0,67732.0
"L'Amoreaux",117.0,"N/A",43993.0,64493.0
"Tam O'Shanter-Sullivan",118.0,"N/A",27446.0,64630.0
"Wexford/Maryvale",119.0,"N/A",27917.0,69418.0
"Clairlea-Birchmount",120.0,"N/A",26984.0,69549.0
"Oakridge",121.0,"N/A",13845.0,50793.0
"Birchcliffe-Cliffside",122.0,"N/A",22291.0,90256.0
"Cliffcrest",123.0,"N/A",15935.0,83694.0
"Kennedy Park",124.0,"N/A",17123.0,58513.0
"Ionview",125.0,"N/A",13641.0,57069.0
"Dorset Park",126.0,"N/A",25003.0,60973.0
"Bendale",127.0,"N/A",29960.0,65560.0
"Agincourt South-Malvern West",128.0,"N/A",23757.0,68465.0
"Agincourt North",129.0,"N/A",29113.0,67622.0
"Milliken",130.0,"N/A",26572.0,66372.0
"Rouge",131.0,"N/A",46496.0,86997.0
"Malvern",132.0,"N/A",43794.0,64497.0
"Centennial Scarborough",133.0,"N/A",13362.0,102278.0
"Highland Creek",134.0,"N/A",12494.0,98857.0
"Morningside",135.0,"N/A",17455.0,66024.0
"West Hill",136.0,"N/A",27392.0,65871.0
"Woburn",137.0,"N/A",53485.0,63186.0
"Eglinton East",138.0,"N/A",22776.0,57357.0
"Scarborough Village",139.0,"N/A",16724.0,61631.0
"Guildwood",140.0,"N/A",9917.0,92858.0
